training_step,train_loss,train_acc,val_loss,val_acc,llc
6400,0.004526216739113588,0.9964381121994658,0.014834713824932969,0.03262158956109134,4017.525146484375
12800,0.002800524529904784,1.0,0.011761923697870998,0.22123368920521946,4024.475341796875
19200,0.0024596441282956254,1.0,0.009930254780761412,0.5504151838671412,4009.715576171875
25600,0.0023326022189296284,1.0,0.0082943180577624,0.8612099644128114,3972.73828125
32000,0.002226320784211404,1.0,0.006668463980995587,0.9875444839857651,3956.4072265625
38400,0.002427054106470161,1.0,0.005498174014794038,1.0,3914.84130859375
44800,0.002631403785696517,1.0,0.004647235577889582,1.0,3867.007568359375
