batch,train_loss,train_acc,val_loss,val_acc,llc
100,0.007799961259596892,0.6669634906500446,0.012778151918463364,0.004151838671411625,4.950031757354736
200,0.006211337723411812,0.9100623330365093,0.014847986189668394,0.0166073546856465,7.650249481201172
300,0.004449635166683145,0.9777382012466608,0.014009380522532077,0.04329774614472123,8.157416343688965
400,0.00347552769860951,0.9973285841495992,0.01317206057106738,0.08422301304863583,8.603570938110352
500,0.003225315886032158,0.9991095280498664,0.012725476470244508,0.1387900355871886,8.671051025390625
600,0.0029011308622960323,0.9991095280498664,0.012074288203130218,0.2117437722419929,8.638930320739746
700,0.002740491872121773,1.0,0.011529339883975852,0.30071174377224197,8.560476303100586
800,0.002623493681791987,1.0,0.010995700434767249,0.37841043890865955,8.528900146484375
900,0.0024980144334321745,1.0,0.010416659481783672,0.4928825622775801,8.412149429321289
1000,0.002358941454295225,1.0,0.009740555693184424,0.6109134045077106,8.200303077697754
1100,0.002410180553858594,1.0,0.009233399929284325,0.727164887307236,8.094731330871582
1200,0.0023840341653976714,1.0,0.008656938594002564,0.8268090154211151,7.978443145751953
1300,0.002194723262922641,1.0,0.007911567862227355,0.9199288256227758,7.83004903793335
1400,0.0021631444401322523,1.0,0.007328010156191665,0.968564650059312,7.770899772644043
1500,0.0019951794827887696,1.0,0.006623749842028733,0.9893238434163701,7.620906352996826
1600,0.002032145505558736,1.0,0.006207732990144366,0.9928825622775801,7.465907096862793
