batch,train_loss,train_acc,val_loss,val_acc,llc
100,0.009244181209128559,0.0365093499554764,0.009273969023107316,0.017793594306049824,0.9873045682907104
200,0.009225364636799,0.05075690115761353,0.009272789986956586,0.0166073546856465,0.9177975654602051
300,0.009213468255616147,0.08281389136242208,0.009271822720633495,0.013641755634638196,0.8867155909538269
400,0.009206675628294716,0.10685663401602849,0.009270860181076281,0.013048635824436536,0.8566216826438904
500,0.009203972129892634,0.1460373998219056,0.009269782970631815,0.011862396204033215,0.7938418388366699
600,0.009204174912736177,0.19590382902938558,0.009268747774656522,0.010083036773428233,0.780512273311615
700,0.009206420937694032,0.2404274265360641,0.009267627421218554,0.010083036773428233,0.7695759534835815
800,0.009210005759171153,0.2742653606411398,0.009266492369345004,0.008896797153024912,0.754380464553833
900,0.009214435215584954,0.31255565449688333,0.009265368506047224,0.00771055753262159,0.7050005197525024
1000,0.009219231570798004,0.3446126447016919,0.009264260553672007,0.006524317912218268,0.7045133113861084
1100,0.009224140077816093,0.3624220837043633,0.009263163007141785,0.005338078291814947,0.6714779734611511
1200,0.009228919761276946,0.38824577025823687,0.009262146643657914,0.004744958481613286,0.6786849498748779
1300,0.009233440862983491,0.40338379341050756,0.009261184569209602,0.004151838671411625,0.6488117575645447
1400,0.009237534977754418,0.41139804096170973,0.009260304468824204,0.0035587188612099642,0.6543151140213013
1500,0.009241137772181527,0.39447907390917186,0.009259525906352033,0.0035587188612099642,0.6139177680015564
1600,0.009244259022249245,0.39180765805877116,0.009258836290157208,0.002372479240806643,0.6118654012680054
1700,0.00924688551196777,0.3935886019590383,0.009258240530397721,0.0017793594306049821,0.5931351184844971
1800,0.009249050919056099,0.38201246660730187,0.009257738292327731,0.0011862396204033216,0.5769468545913696
1900,0.009250794611174616,0.36776491540516476,0.009257326244508068,0.0005931198102016608,0.5757300853729248
2000,0.009252164361107753,0.352626892252894,0.00925699229963115,0.0005931198102016608,0.6067652106285095
2100,0.009253220178206798,0.3348174532502226,0.009256726059585385,0.0005931198102016608,0.6086406111717224
2200,0.009254019364104245,0.31255565449688333,0.009256519087781403,0.0005931198102016608,0.5716683268547058
2300,0.009254610522559787,0.29118432769367764,0.009256360671247663,0.0005931198102016608,0.5739928483963013
2400,0.009255038605851992,0.26981300089047194,0.009256242193869389,0.0005931198102016608,0.5918214321136475
2500,0.009255344452019632,0.24844167408726625,0.009256154892044772,0.0005931198102016608,0.5687822699546814
2600,0.009255556783614845,0.23063223508459482,0.00925609226916361,0.0005931198102016608,0.5602926015853882
2700,0.00925570104241318,0.20213713268032057,0.009256048564946065,0.0,0.5619791150093079
2800,0.009255797713364699,0.188780053428317,0.009256018346677117,0.0,0.5459739565849304
2900,0.009255860767137336,0.18165627782724844,0.009255998132116253,0.0,0.5753316879272461
3000,0.009255901000604286,0.1620658949243099,0.0092559848593886,0.0,0.5911337733268738
3100,0.009255926277345828,0.15316117542297417,0.009255976283597988,0.0,0.5895020365715027
3200,0.009255941698488548,0.14781834372217276,0.009255970963569686,0.0,0.5841089487075806
3300,0.009255950896439283,0.13357079252003562,0.009255967742055301,0.0,0.5594851970672607
3400,0.009255956399784434,0.11754229741763135,0.009255965868362434,0.0,0.596956729888916
3500,0.009255959536259926,0.10774710596616206,0.009255964716637899,0.0,0.6127124428749084
3600,0.009255961250457398,0.1006233303650935,0.009255963944954839,0.0,0.5899824500083923
3700,0.00925596211626396,0.09349955476402494,0.009255963484265025,0.0,0.5863369703292847
3800,0.009255962710883983,0.08726625111308994,0.009255963348930488,0.0,0.5912284851074219
3900,0.009255963091540316,0.07836153161175423,0.00925596335390196,0.0,0.5558157563209534
4000,0.009255963269843391,0.07390917186108638,0.009255963356111504,0.0005931198102016608,0.5964130163192749
4100,0.009255963335359404,0.06945681211041853,0.009255963358321047,0.0005931198102016608,0.5892378091812134
4200,0.009255963354433686,0.06411398040961709,0.009255963358321047,0.0005931198102016608,0.5690065026283264
4300,0.00925596336106822,0.05699020480854853,0.009255963358321047,0.0005931198102016608,0.566308319568634
4400,0.009255963362726853,0.05699020480854853,0.009255963358321047,0.0005931198102016608,0.5960763692855835
4500,0.009255963362726853,0.05609973285841496,0.009255963358321047,0.0011862396204033216,0.5911592245101929
4600,0.009255963362726853,0.053428317008014245,0.009255963358321047,0.0011862396204033216,0.5908545851707458
4700,0.009255963362726853,0.05075690115761353,0.009255963358321047,0.0011862396204033216,0.5735856890678406
4800,0.009255963362726853,0.048975957257346395,0.009255963358321047,0.002372479240806643,0.6143488883972168
4900,0.009255963362726853,0.04719501335707925,0.009255963358321047,0.002372479240806643,0.6306037306785583
5000,0.009255963362726853,0.04630454140694568,0.009255963358321047,0.0029655990510083037,0.5642656087875366
5100,0.009255963362726853,0.04541406945681211,0.009255963358321047,0.0035587188612099642,0.6197470426559448
5200,0.009255963362726853,0.04363312555654497,0.009255963358321047,0.0035587188612099642,0.5889445543289185
5300,0.009255963362726853,0.0427426536064114,0.009255963358321047,0.0035587188612099642,0.5766441226005554
5400,0.009255963362726853,0.04096170970614425,0.009255963358321047,0.0035587188612099642,0.5652469992637634
5500,0.009255963362726853,0.04096170970614425,0.009255963358321047,0.0035587188612099642,0.5804762244224548
5600,0.009255963362726853,0.0365093499554764,0.009255963358321047,0.0035587188612099642,0.5541270971298218
5700,0.009255963362726853,0.03561887800534283,0.009255963358321047,0.0035587188612099642,0.5668909549713135
5800,0.009255963362726853,0.03383793410507569,0.009255963358321047,0.0035587188612099642,0.5787023901939392
5900,0.009255963362726853,0.03383793410507569,0.009255963358321047,0.0035587188612099642,0.5706050395965576
6000,0.009255963362726853,0.03383793410507569,0.009255963358321047,0.0035587188612099642,0.5751184225082397
6100,0.009255963362726853,0.03294746215494212,0.009255963358321047,0.0035587188612099642,0.5884572863578796
6200,0.009255963362726853,0.032056990204808546,0.009255963358321047,0.0035587188612099642,0.5878002047538757
6300,0.009255963362726853,0.032056990204808546,0.009255963358321047,0.0035587188612099642,0.5489515066146851
6400,0.009255963362726853,0.030276046304541407,0.009255963358321047,0.0035587188612099642,0.5625582933425903
6500,0.009255963362726853,0.030276046304541407,0.009255963358321047,0.0035587188612099642,0.5962646007537842
6600,0.009255963362726853,0.030276046304541407,0.009255963358321047,0.0035587188612099642,0.5846661925315857
