training_step,train_loss,train_acc,val_loss,val_acc,llc
6400,0.006535354077063929,0.6428571428571429,0.007068474086324784,0.00033057851239669424,4454.42138671875
12800,0.005555387042044285,0.878968253968254,0.00752460080560697,0.0,4601.4189453125
19200,0.004054570146157251,0.9866071428571429,0.00834376510555956,0.001322314049586777,4817.7333984375
25600,0.003181078934768078,0.9990079365079365,0.00923546684243955,0.030413223140495868,5002.25537109375
32000,0.002930945420216414,0.9995039682539683,0.009743899525073934,0.07801652892561983,5088.44921875
38400,0.002876845776867528,1.0,0.009948116883112134,0.14710743801652892,5131.3349609375
44800,0.002854898335557202,1.0,0.009943118553362355,0.22611570247933885,5151.44775390625
51200,0.002833590984144913,1.0,0.009828936912827501,0.32330578512396696,5207.140625
57600,0.00283036868495401,1.0,0.009651235841707257,0.4168595041322314,5191.20068359375
64000,0.0027775229743657827,1.0,0.009389725513910213,0.5236363636363637,5162.25390625
70400,0.0027468080709998808,1.0,0.009118901707601448,0.6069421487603306,5216.892578125
76800,0.002722242150671913,1.0,0.008830559339128003,0.6915702479338843,5184.7958984375
83200,0.0026672345881548058,1.0,0.008491947542229468,0.7699173553719009,5191.21240234375
89600,0.0025837161595099753,1.0,0.008118818000205292,0.8347107438016529,5192.1318359375
96000,0.0025985821393699135,1.0,0.00781953539760891,0.8839669421487604,5163.21826171875
102400,0.0025665882607831415,1.0,0.007463781899226106,0.9272727272727272,5137.56396484375
108800,0.0025426275968793706,1.0,0.007110125232210829,0.9547107438016529,5163.921875
115200,0.0025012937628725055,1.0,0.0067308516767307005,0.9771900826446281,5144.00146484375
121600,0.0024823914000224913,1.0,0.006361882023913555,0.9857851239669422,5138.78076171875
