training_step,train_loss,train_acc,val_loss,val_acc,llc
3200,0.00587597299953557,0.42107371794871795,0.007099690182365785,0.0,6.843398571014404
6400,0.004855957239133437,0.8028846153846154,0.008048660823023407,0.06034712950600801,13.363334655761719
9600,0.0035912670198927233,0.9971955128205128,0.006233744824414598,0.9244325767690253,16.183753967285156
12800,0.0031828503315642965,1.0,0.004332330414542906,1.0,16.52370834350586
16000,0.003460726631321729,1.0,0.003912961175441444,1.0,16.03741455078125
19200,0.004012464828030296,1.0,0.004223247479463372,1.0,15.429763793945312
