training_step,train_loss,train_acc,val_loss,val_acc,llc
6400,0.004411270987293878,0.993766696349065,0.0142004687130818,0.03143534994068802,4936.59716796875
12800,0.002711950772079512,1.0,0.01111494990127561,0.27580071174377224,4923.013671875
19200,0.002297383668199712,1.0,0.009083605851162743,0.7087781731909846,4910.619140625
25600,0.0022938667210017994,1.0,0.0074810189913631295,0.9774614472123369,4862.16748046875
32000,0.0020802810895758435,1.0,0.005725735160334352,0.9994068801897983,4831.62255859375
38400,0.002240691623751668,1.0,0.004716625065108582,1.0,4804.1826171875
