training_step,train_loss,train_acc,val_loss,val_acc,llc
12800,0.001018265446769082,1.0,0.011392358354649652,0.0011862396204033216,14.432563781738281
25600,0.0007176416759082313,1.0,0.011142356440530977,0.002372479240806643,13.520416259765625
38400,0.0005989545660913621,1.0,0.010917668465595618,0.0029655990510083037,12.584467887878418
51200,0.000497770249898125,1.0,0.010679548560980872,0.004744958481613286,11.761866569519043
64000,0.0004257242232523792,1.0,0.010434692130619627,0.005338078291814947,10.991039276123047
76800,0.00037544428577496506,1.0,0.010158117433008986,0.005931198102016607,10.52587890625
89600,0.0003512117511324107,1.0,0.009834153636790645,0.021352313167259787,10.09443473815918
102400,0.0003497680889248503,1.0,0.009415534594508322,0.0693950177935943,9.609647750854492
115200,0.00035939521231097255,1.0,0.008855326944953305,0.26631079478054565,9.383026123046875
128000,0.0003992352535513181,1.0,0.008106354638947393,0.6856465005931198,9.035066604614258
140800,0.00048437386750449274,1.0,0.007132966152291794,0.9673784104389087,8.812271118164062
153600,0.0006724001299353517,1.0,0.00599911553102456,0.9994068801897983,8.518340110778809
166400,0.001047601827612281,1.0,0.004924980973386265,1.0,8.382807731628418
179200,0.0016721621898391872,1.0,0.004196959094327796,1.0,8.221080780029297
192000,0.002604353607143752,1.0,0.004076033740327611,1.0,8.08688735961914
204800,0.003750096457137105,1.0,0.004532008698101853,1.0,7.979526519775391
217600,0.004996809925144258,1.0,0.005382526187283625,1.0,8.091604232788086
230400,0.0062310447176638075,1.0,0.0064138997838338605,1.0,8.056418418884277
243200,0.007386862284164687,1.0,0.007466305646059918,1.0,8.027963638305664
256000,0.008426156802267128,1.0,0.008464609580456963,1.0,8.134943962097168
268800,0.009320098041778203,1.0,0.009338943057385309,1.0,8.091165542602539
