batch,train_loss,train_acc,val_loss,val_acc,llc
100,0.009097802248731163,0.6776491540516474,0.009291960299898863,0.0,3.9325664043426514
200,0.00916796638476907,0.4817453250222618,0.009279578385050469,0.0,3.6123034954071045
300,0.009174869055772666,0.32146037399821903,0.009275089543365818,0.0,3.522294521331787
400,0.008957156816950251,0.38290293855743546,0.009218452077951118,0.022538552787663108,3.708968162536621
500,0.008421263367664118,0.7043633125556545,0.009120956693542844,0.2538552787663108,4.910538673400879
600,0.008271480397133029,0.9082813891362422,0.00940881978277413,0.6067615658362989,6.974970817565918
700,0.00844533390797615,0.9617097061442564,0.00980711097344049,0.7953736654804271,8.725857734680176
800,0.008752253101450306,0.9795191451469278,0.010194178228736065,0.8795966785290629,10.342928886413574
900,0.009081374121562827,0.9964381121994658,0.010504916661351584,0.9442467378410438,11.439692497253418
1000,0.009379628155868125,0.9982190560997328,0.010711374508674352,0.9733096085409253,12.404772758483887
1100,0.009476614606385107,1.0,0.010655114355951123,0.9869513641755635,13.200117111206055
1200,0.00962451181373661,1.0,0.010664221550330236,0.9928825622775801,13.548194885253906
