batch,train_loss,train_acc,val_loss,val_acc,llc
100,0.01112677111022526,0.634906500445236,0.01685526405603648,0.004151838671411625,7.227363586425781
200,0.008858590132829702,0.798753339269813,0.016008248458222032,0.009489916963226572,7.643863201141357
300,0.0065388533567474,0.9269813000890472,0.013712703942211869,0.07651245551601424,7.407862663269043
400,0.005027320454492568,0.98753339269813,0.011289911143026566,0.38018979833926453,7.557643413543701
500,0.0042790337485399755,0.9991095280498664,0.009055237633519732,0.8149466192170819,7.460555076599121
600,0.0038324143487308256,1.0,0.00728591533683236,0.9881376037959668,7.228316307067871
700,0.003425186032011362,1.0,0.0058995856488375424,0.9994068801897983,7.02370023727417
800,0.003339430264102748,1.0,0.005232387879826924,1.0,6.919618129730225
