batch,train_loss,train_acc,val_loss,val_acc,llc
100,0.009624461314573765,0.4844167408726625,0.013481185965964732,0.002372479240806643,3.133802890777588
200,0.009017252626157933,0.691006233303651,0.015106264268150852,0.013641755634638196,3.9173102378845215
300,0.00815529436248712,0.8121104185218165,0.015056392936365213,0.054567022538552785,4.475491523742676
400,0.008974331079045923,0.8975957257346393,0.015614086520678031,0.15302491103202848,4.703859329223633
500,0.009354128129946156,0.968833481745325,0.015078023616567007,0.3867141162514828,5.044297218322754
600,0.010310805294470312,0.9946571682991986,0.014794468676421707,0.6903914590747331,5.3695220947265625
700,0.009249730225161502,1.0,0.012314353071645892,0.9454329774614472,5.524718284606934
800,0.009371197711135645,1.0,0.01145334844035566,0.994661921708185,5.6387434005737305
900,0.010020685636372914,1.0,0.011565991439541729,0.99644128113879,5.734238624572754
1000,0.010701664259038594,1.0,0.011903261671932073,0.998220640569395,5.713034629821777
