batch,train_loss,train_acc,val_loss,val_acc
250,3.27484017379325,0.1910919540229885,5.155268113541227,0.0014360938247965534
500,2.5173918616304967,0.35344827586206895,6.352344531828048,0.0028721876495931067
750,1.996187630698256,0.47054597701149425,7.30854781770204,0.003829583532790809
1000,1.6771766999428663,0.5567528735632183,8.11543287707037,0.003350885591191958
1250,1.4400609529740445,0.6228448275862069,8.850420596112812,0.00430828147438966
1500,1.2684416359547397,0.6882183908045977,9.44410088041315,0.003829583532790809
1750,1.1299468071157135,0.7262931034482759,9.96468869664128,0.005265677357587362
2000,1.0331804809513792,0.7650862068965517,10.364021024599408,0.00430828147438966
2250,0.949054765697012,0.7916666666666666,10.710277736022919,0.003829583532790809
2500,0.879192203858696,0.8189655172413793,10.950171544398914,0.005265677357587362
2750,0.8136784221071097,0.8369252873563219,11.219535857590621,0.004786979415988511
3000,0.7706055603519981,0.8448275862068966,11.42444957166022,0.003829583532790809
3250,0.728011560776196,0.8591954022988506,11.574913870226707,0.0057443752991862135
3500,0.6895696393042888,0.8814655172413793,11.730079629613188,0.005265677357587362
3750,0.6651498888881513,0.889367816091954,11.833852211502949,0.006223073240785065
4000,0.6369714955504898,0.9030172413793104,11.957023339157468,0.00861656294877932
4250,0.611722442922624,0.9008620689655172,12.01433467841005,0.007659167065581618
4500,0.5896579117511517,0.9202586206896551,11.966653039509072,0.009573958831977022
4750,0.5738737491961707,0.9188218390804598,12.05680847722304,0.011010052656773576
5000,0.5590077642787612,0.9245689655172413,12.100126378681795,0.009095260890378171
5250,0.5550976603495321,0.9346264367816092,12.082634592238437,0.010052656773575874
5500,0.5450957112847934,0.9295977011494253,12.112451672622672,0.011488750598372427
5750,0.5373557918917805,0.9281609195402298,12.079254515621992,0.011967448539971278
6000,0.5233441514756542,0.9346264367816092,12.090821179396363,0.010531354715174725
6250,0.5153433468079746,0.9346264367816092,12.083884865433413,0.010052656773575874
6500,0.514887773836615,0.9468390804597702,12.058208971824666,0.011488750598372427
6750,0.5063068261222871,0.9489942528735632,12.002927722032203,0.011488750598372427
7000,0.5024102775446252,0.9468390804597702,11.962410617164123,0.01244614648157013
7250,0.48992210379955575,0.9533045977011494,11.918680068275094,0.01292484442316898
7500,0.49084192406768834,0.9489942528735632,11.875098561640034,0.013403542364767831
7750,0.4931185846645171,0.9403735632183908,11.832563552227498,0.01244614648157013
8000,0.4847429854858562,0.944683908045977,11.77911865737783,0.011010052656773576
8250,0.47804431385466367,0.9547413793103449,11.730753755035542,0.011488750598372427
8500,0.4679826896693879,0.9604885057471264,11.624107971038471,0.010531354715174725
8750,0.46486684328330485,0.9561781609195402,11.560792955108496,0.01292484442316898
9000,0.4632847707902768,0.9533045977011494,11.51125935956817,0.01292484442316898
9250,0.45271007041764666,0.9626436781609196,11.409810060538911,0.013882240306366683
9500,0.45926179248326454,0.9525862068965517,11.340567288963975,0.01292484442316898
9750,0.4450553807071357,0.9633620689655172,11.287155463377637,0.016275730014360938
10000,0.4410078913748168,0.9633620689655172,11.157672156571321,0.015797032072762087
10250,0.43377779501767283,0.9712643678160919,11.055963872316664,0.015318334131163236
10500,0.43444805188792296,0.9655172413793104,11.005825253008242,0.014360938247965534
10750,0.4280778904299616,0.9662356321839081,10.856482054600862,0.016275730014360938
11000,0.4237716284870898,0.9640804597701149,10.73374982155296,0.018190521780756343
11250,0.4120901748310539,0.9727011494252874,10.568537304787766,0.014839636189564385
11500,0.4060621129659315,0.9676724137931034,10.446684485953167,0.020105313547151747
11750,0.4038860978319138,0.9712643678160919,10.303850492317178,0.019626615605552896
12000,0.3915221613235357,0.9813218390804598,10.15592635247291,0.0205840114887506
12250,0.39158832868253385,0.9712643678160919,9.969716572859438,0.02202010531354715
12500,0.380743425715134,0.9770114942528736,9.821600467891264,0.022977501196744854
12750,0.3719831205350089,0.9791666666666666,9.601987354021364,0.026807084729535663
13000,0.3727349173347031,0.978448275862069,9.470972170307876,0.026328386787936812
13250,0.36551696752145685,0.9741379310344828,9.312425200474774,0.026328386787936812
13500,0.3646707291185542,0.9762931034482759,9.076484919393273,0.028243178554332216
13750,0.3493776999920106,0.9791666666666666,8.888887937599325,0.02967927237912877
14000,0.34453758292239534,0.978448275862069,8.667464913173532,0.028721876495931067
14250,0.3353924155017012,0.9834770114942529,8.380975673667098,0.02967927237912877
14500,0.3176120145914771,0.9849137931034483,7.987648253687985,0.031115366203925323
14750,0.3034796150830767,0.9849137931034483,7.511765012525596,0.034944949736716135
15000,0.2907801731021261,0.9935344827586207,7.006446494390522,0.034944949736716135
15250,0.28760805456489646,0.9892241379310345,6.603899014267541,0.04643370033508856
15500,0.2766820806304084,0.9935344827586207,6.29506051503104,0.04643370033508856
15750,0.2657128455095266,0.9920977011494253,5.989945491034022,0.05696505505026329
16000,0.25532188591408145,0.9949712643678161,5.6963033512495045,0.0617520344662518
16250,0.24977520854150792,0.9956896551724138,5.359520188325017,0.07467687888942078
16500,0.23882717470004192,0.9964080459770115,5.060306765490856,0.0832934418382001
16750,0.23412876792690962,0.9964080459770115,4.691229640864203,0.10244135950215415
17000,0.2149410079990717,0.9964080459770115,4.301448103229931,0.12302537099090474
17250,0.20009929190614614,0.9992816091954023,3.751892563948241,0.15509813307802778
17500,0.1880297392691036,0.9978448275862069,3.1563509083118926,0.1948300622307324
17750,0.1751776982112868,0.9992816091954023,2.7090114521209547,0.25131641933939686
18000,0.17249715411881703,0.9992816091954023,2.370779887822137,0.3058879846816659
18250,0.16163957158897083,0.9992816091954023,2.1171498369013597,0.3360459550023935
18500,0.15724733229003976,1.0,1.8852326431150725,0.4016275730014361
18750,0.15014266765953427,1.0,1.6939247724363404,0.4595500239348971
19000,0.14313986935939146,1.0,1.5104943504173607,0.5040689325035902
19250,0.1385201073603587,0.9992816091954023,1.3565245911362191,0.5686931546194351
19500,0.13411291235664474,0.9992816091954023,1.2147808524981933,0.6151268549545237
19750,0.1297051907977325,1.0,1.081027193895513,0.6553374820488271
20000,0.12195286124974125,1.0,0.9191579965485795,0.7223551938726663
20250,0.11463977202061221,1.0,0.7394902121646587,0.8094782192436573
20500,0.10517618054893382,1.0,0.5469828381828603,0.8989947343226424
20750,0.10033251899368151,1.0,0.411626217281379,0.9545236955481091
21000,0.09851587981777801,1.0,0.33906515864249676,0.9779798946864529
21250,0.0963071031561496,1.0,0.303872232360595,0.9837242699856391
