batch,train_loss,train_acc,val_loss,val_acc,llc
250,0.0722440198296681,1.0,13.595120542384104,0.0,34.43680191040039
500,0.020840687134599,1.0,15.453417183828106,0.0,33.807491302490234
750,0.0163046992268694,1.0,15.246931274800822,0.0,31.535676956176758
1000,0.0154282033048123,1.0,14.717794441887577,0.0,29.467870712280273
1250,0.0148526317085876,1.0,14.285440121407731,0.0,28.300260543823242
1500,0.0140958969653487,1.0,13.986128008344972,0.0,27.043060302734375
1750,0.0133663337777155,1.0,13.675744189546675,0.0,26.3806095123291
2000,0.0127745858468794,1.0,13.447338155485316,0.0,25.95949363708496
2250,0.0123299868403895,1.0,13.221763114168905,0.0,25.71306037902832
2500,0.0119046043928392,1.0,13.010675252620228,0.0,25.335662841796875
2750,0.0116552006608496,1.0,12.820382156033244,0.0,25.175283432006836
3000,0.0114259592683083,1.0,12.595406756657248,0.0,24.823305130004883
3250,0.0113831294917569,1.0,12.386617918155016,0.0,25.271501541137695
3500,0.0110393789727822,1.0,12.21265854248761,0.0,24.626562118530273
3750,0.0111014728900045,1.0,11.974296489249484,0.0,24.913406372070312
4000,0.010721098232049,1.0,11.860301230561175,0.0,23.757230758666992
4250,0.0105280862189829,1.0,11.690406248515773,0.0,25.090662002563477
4500,0.0106237980223037,1.0,11.56024158868674,0.0,25.159990310668945
4750,0.0105962038972696,1.0,11.422653582108495,0.0,24.575820922851562
5000,0.0103373970008154,1.0,11.297613757528506,0.0,24.271751403808594
5250,0.0104440377438853,1.0,11.165231134490702,0.0,24.50126838684082
5500,0.0102780709809546,1.0,10.992394779129294,0.0,23.873064041137695
5750,0.0103340709611075,1.0,10.8725020608621,0.0,23.49140167236328
6000,0.0101342857366641,1.0,10.719606523703868,0.0,23.737802505493164
6250,0.0100258632355689,1.0,10.521759166874547,0.0,24.24627685546875
6500,0.0099508358501528,1.0,10.36501487061717,0.0017331022530329,23.572507858276367
6750,0.009851475971421,1.0,10.17617306986136,0.0034662045060658,23.327009201049805
7000,0.0097150677853884,1.0,9.98225910473531,0.0034662045060658,23.40519905090332
7250,0.0097774296633967,1.0,9.696651971009617,0.0034662045060658,23.96460723876953
7500,0.0099046912910125,1.0,9.45353892977564,0.0017331022530329,22.958711624145508
7750,0.0096019560927137,1.0,9.118489607677922,0.0017331022530329,23.235090255737305
8000,0.0094524707183154,1.0,8.822437560124456,0.0051993067590987,23.45746421813965
8250,0.0095440750295286,1.0,8.453472693416852,0.0069324090121317,22.63440704345703
8500,0.0092667692388204,1.0,8.076858405740463,0.0069324090121317,23.247350692749023
8750,0.0092929702459514,1.0,7.468905605414505,0.0121317157712305,22.75579071044922
9000,0.009182185397852,1.0,6.6888007410322565,0.0311958405545927,21.6845703125
9250,0.0090567806631346,1.0,5.707101821163395,0.048526863084922,21.001209259033203
9500,0.0086962836661162,1.0,4.473971838389799,0.1057192374350086,22.03886604309082
9750,0.0083601718000257,1.0,3.0290264570714336,0.2582322357019064,20.83152961730957
10000,0.0078648007368731,1.0,1.7058568181457123,0.4887348353552859,20.28651237487793
10250,0.0075227704173812,1.0,0.9882037508506424,0.733102253032929,20.02524757385254
10500,0.0073394593497747,1.0,0.6449573171701108,0.8249566724436742,19.36134910583496
10750,0.0070024726122331,1.0,0.4764970084599847,0.8960138648180243,19.679122924804688
11000,0.0069825738279784,1.0,0.4111249922283245,0.9098786828422876,18.682289123535156
11250,0.0069050627495623,1.0,0.3764460309298847,0.92894280762565,18.335311889648438
11500,0.0067491598359386,1.0,0.3612184493642694,0.9306759098786828,18.484373092651367
11750,0.0067518802937532,1.0,0.3624997618083601,0.9220103986135182,18.99407386779785
12000,0.006813727029718,1.0,0.3608402408924974,0.92894280762565,18.81427001953125
12250,0.0068553396208699,1.0,0.3625223767145519,0.925476603119584,18.807825088500977
12500,0.006677371421271,1.0,0.367031198624841,0.9237435008665512,18.352502822875977
12750,0.0067506316261945,1.0,0.3650681261280696,0.9185441941074524,18.234981536865234
13000,0.0066117245742134,1.0,0.3656495956645914,0.9168110918544194,18.710050582885742
