training_step,train_loss,train_acc,val_loss,val_acc,llc
6400,0.003283664060290903,0.06611842105263158,0.0032931143867346007,0.0003654703603537753,10.209254264831543
12800,0.003280688504782391,0.06962719298245613,0.003301543491388019,0.0007309407207075506,10.425145149230957
19200,0.0032831056268166816,0.11041666666666666,0.003349185187701651,0.0014618814414151012,11.664848327636719
25600,0.003278152968235653,0.14890350877192982,0.0033816758906054178,0.0016080695855566114,12.429427146911621
32000,0.003238781519962287,0.21480263157894736,0.0033678967332376624,0.005335867261165119,12.85824203491211
38400,0.0031552486651650583,0.41403508771929826,0.0033111130821890083,0.11395365835830715,14.362318992614746
44800,0.003049103497566345,0.7690789473684211,0.0032185515642150346,0.5955704992325123,17.272201538085938
51200,0.0029736780624054454,0.9574561403508772,0.0031371859422736547,0.9228126598932826,20.387590408325195
57600,0.0029928881286315646,0.9963815789473685,0.003148134224490938,0.9939331920181274,23.858198165893555
64000,0.003116620816224001,0.999890350877193,0.003238280945902791,0.999122871135151,27.1108455657959
70400,0.0031425126715156804,1.0,0.0032539258625402727,1.0,29.303955078125
