training_step,train_loss,train_acc,val_loss,val_acc,llc
12800,0.006899100588126448,0.11805555555555555,0.006958518741144375,0.011239669421487603,6179.09375
25600,0.006852234529177954,0.3531746031746032,0.0069669775119867204,0.008264462809917356,6202.4150390625
38400,0.006807724990981764,0.5828373015873016,0.006975916689954513,0.004628099173553719,6215.8076171875
51200,0.006761872145626325,0.753968253968254,0.006986198253652528,0.001652892561983471,6203.978515625
64000,0.006711743235687858,0.8541666666666666,0.006998363901391502,0.001322314049586777,6197.3515625
76800,0.006654553683123566,0.9126984126984127,0.0070134163809524586,0.00033057851239669424,6186.9453125
89600,0.006588275114717405,0.9474206349206349,0.007032081345481074,0.00033057851239669424,6190.49169921875
102400,0.006509981084188136,0.9672619047619048,0.0070551321757110685,0.0,6231.5791015625
115200,0.006417665069983784,0.9841269841269841,0.007083330543727175,0.0,6219.5078125
128000,0.006309697887950784,0.9900793650793651,0.007117827282525783,0.0,6197.7421875
140800,0.006184636922423831,0.996031746031746,0.0071580061276466395,0.0,6275.4794921875
153600,0.006041133680680234,0.998015873015873,0.007204795920189994,0.0,6259.17578125
166400,0.005879181034129394,0.9990079365079365,0.007257350140582185,0.0,6288.23583984375
179200,0.005700163672805675,0.9995039682539683,0.007315737987783822,0.0,6324.6533203125
192000,0.005503339510242868,1.0,0.007375613032447652,0.0,6337.54638671875
204800,0.005292031808205629,1.0,0.007437376943378409,0.0,6347.04833984375
217600,0.00506461081039604,1.0,0.007495647593255132,0.0,6418.81640625
230400,0.004826105792109581,1.0,0.007550151034850966,0.0,6439.01171875
243200,0.004580497559453804,1.0,0.007599681884450607,0.00033057851239669424,6481.6826171875
256000,0.004332228162739839,1.0,0.007644350760239215,0.0019834710743801653,6503.3984375
268800,0.004081354780715802,1.0,0.007677544353391267,0.003966942148760331,6555.1025390625
281600,0.003839557632292983,1.0,0.007706966632900159,0.007603305785123967,6557.74560546875
294400,0.0036122992139084207,1.0,0.00773319158102732,0.009256198347107438,6614.63818359375
307200,0.003398662053061546,1.0,0.00775430336825488,0.01652892561983471,6646.4404296875
320000,0.0031998254062417554,1.0,0.0077673870121890845,0.026446280991735537,6665.5166015625
332800,0.003023301569873371,1.0,0.0077771565766066066,0.03603305785123967,6739.39990234375
345600,0.002868853863118501,1.0,0.007784673451669206,0.05619834710743802,6717.6826171875
358400,0.0027440537137047773,1.0,0.007796898499315928,0.08066115702479339,6728.6171875
371200,0.0026342020762621403,1.0,0.007802747718004648,0.10677685950413224,6800.3369140625
384000,0.002546759345614913,1.0,0.007807851123415734,0.13322314049586778,6816.7802734375
396800,0.002464094279737707,1.0,0.007799262559918825,0.1596694214876033,6851.4208984375
409600,0.0023934199966860765,1.0,0.007784654835223659,0.19107438016528924,6860.3046875
422400,0.0023404187543039573,1.0,0.007770193413454147,0.2300826446280992,6866.888671875
435200,0.0023025093755027876,1.0,0.007756272057179084,0.27206611570247935,6851.2763671875
448000,0.0022634447955675163,1.0,0.0077289835311287695,0.3117355371900826,6905.2109375
460800,0.002226091795328391,1.0,0.007694189092529214,0.3550413223140496,6902.9765625
473600,0.002195182865444434,1.0,0.007657169890859403,0.3950413223140496,6937.892578125
486400,0.00217042184718478,1.0,0.007616797034467055,0.43768595041322317,6944.86083984375
499200,0.002143709067789291,1.0,0.007566083031283184,0.4747107438016529,6921.50341796875
512000,0.00211787656025124,1.0,0.007507925830504372,0.5190082644628099,6944.06396484375
524800,0.0020965906927206865,1.0,0.007449704693892032,0.5626446280991736,6948.00146484375
537600,0.002074909790757201,1.0,0.0073855646496469324,0.5980165289256199,6977.5498046875
550400,0.0020561715571689307,1.0,0.0073184080038619925,0.6343801652892562,6984.3076171875
563200,0.0020385429475388104,1.0,0.007249128641021892,0.6737190082644628,6995.62841796875
576000,0.002022974525364892,1.0,0.007173869771159385,0.7024793388429752,6961.04443359375
588800,0.0020144677184275464,1.0,0.007103931590422126,0.7322314049586777,6963.509765625
601600,0.0019918285338679283,1.0,0.00701682416752966,0.7583471074380165,7009.66748046875
614400,0.0019842724006651673,1.0,0.006938617519711044,0.7894214876033058,7005.64990234375
627200,0.001970855869749646,1.0,0.006855148289368049,0.8105785123966942,6952.7490234375
640000,0.0019534297909616265,1.0,0.006763026339255951,0.8343801652892562,7025.052734375
652800,0.0019499313886395641,1.0,0.006680427250752518,0.8571900826446281,6964.18115234375
665600,0.0019409249162270009,1.0,0.006591026606961838,0.8763636363636363,6982.646484375
678400,0.001937064208750454,1.0,0.006504525992372804,0.8942148760330578,6953.73046875
691200,0.0019312485448955115,1.0,0.006413186466059655,0.911404958677686,7006.7783203125
704000,0.001921923173785982,1.0,0.00631684665629748,0.9256198347107438,7013.54052734375
716800,0.0019143479664293524,1.0,0.006218418741660301,0.9375206611570248,6989.76171875
729600,0.001908844886259878,1.0,0.006123358609293365,0.947107438016529,7005.7666015625
742400,0.0019080679303442594,1.0,0.006030084326062814,0.9530578512396695,6993.849609375
755200,0.0019053004776536013,1.0,0.005932014064463086,0.9606611570247934,7009.88818359375
768000,0.0019014215863463173,1.0,0.005832039133822622,0.9679338842975207,6981.11083984375
780800,0.0018998052518803714,1.0,0.005732964714450285,0.9722314049586777,6993.3486328125
793600,0.0018994932874597402,1.0,0.005633764028903251,0.9752066115702479,6961.16943359375
806400,0.001898674436406942,1.0,0.005534012042878827,0.9791735537190083,6949.01123046875
819200,0.00189856518582452,1.0,0.005433240910868877,0.9828099173553719,6980.984375
832000,0.0018994786495611714,1.0,0.00533125782608678,0.9861157024793389,6970.28466796875
844800,0.0019056510428194925,1.0,0.005235095236157952,0.9884297520661157,6957.0810546875
857600,0.0019195574109506282,1.0,0.005144957720248167,0.9897520661157024,6978.0498046875
870400,0.0019228878048283698,1.0,0.005045140964587119,0.9917355371900827,6961.1259765625
883200,0.0019295412525862626,1.0,0.004947496882432009,0.9937190082644628,6987.6142578125
896000,0.0019464869817764135,1.0,0.004859340525855703,0.9953719008264463,6954.63037109375
